UNITID,ACTCM25,ACTCM75,ACTCMMID,ACTEN25,ACTEN75,ACTENMID,ACTMT25,ACTMT75,ACTMTMID,ACTWR25,ACTWR75,ACTWRMID,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN_SUPP,NPT41_PRIV,NPT41_PUB,NPT42_PRIV,NPT42_PUB,NPT43_PRIV,NPT43_PUB,NPT44_PRIV,NPT44_PUB,NPT45_PRIV,NPT45_PUB,NPT4_PRIV,NPT4_PUB,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PCTFLOAN,PCTPELL,PPTUG_EF,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,RPY_3YR_RT_SUPP,SATMT25,SATMT75,SATMTMID,SATVR25,SATVR75,SATVRMID,SATWR25,SATWR75,SATWRMID,SAT_AVG,SAT_AVG_ALL,UG25abv,UGDS,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,gt_25k_p6,md_earn_wne_p10
144944,,,,,,,,,,,,,,0.349113333333,88.84970615,8003.0,,2566.0,,3819.0,,4964.0,,7257.0,,7801.0,,4200.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0105,0.0612,0.0,0.0056,0.0395,0.0,0.0221,0.0189,0.0,0.2283,0.0,0.0,0.0,0.0,0.0793,0.0008,0.0,0.0,0.0,0.0052,0.0,0.0515,0.0121,0.0,0.0,0.1345,0.0278,0.0209,0.0117,0.219,0.0459,0.0,0.1312,0.4031,0.5867,,0.767,,0.5294,0.63905775076,,,,,,,,,,,,0.3903,8599.0,0.0263,0.0021,0.0564,0.0554,0.2965,0.0007,0.005,0.0264,0.5312,0.518635988235,31300.0
145497,18.0,24.0,21.0,18.0,27.0,23.0,16.0,23.0,20.0,,,,0.0676448844884,,,,28002.0,,28169.0,,29094.0,,30387.0,,32681.0,,28686.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.5171,0.0502,0.2182,,,,,440.0,550.0,495.0,470.0,600.0,535.0,460.0,570.0,515.0,1019.0,1019.0,0.0288,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.327380955219,17600.0
145646,25.0,30.0,28.0,25.0,31.0,28.0,25.0,30.0,28.0,,,,0.801868440367,,299.75535,27000.0,19342.0,,17989.0,,24025.0,,28090.0,,32008.0,,26398.0,,0.0,0.029,0.0,0.0,0.0,0.0,0.0104,0.0,0.0705,0.0,0.0,0.0187,0.0,0.0,0.0456,0.0,0.0,0.083,0.0249,0.0,0.0145,0.0,0.0207,0.0,0.0353,0.0,0.0934,0.0,0.0,0.1058,0.0,0.0,0.0,0.0,0.1037,0.0747,0.2448,0.0249,0.6299,0.1878,0.003,0.8755,,,,0.944444444444,570.0,740.0,655.0,510.0,620.0,565.0,,,,1241.0,1241.0,0.006,2000.0,0.014,0.003,0.046,0.046,0.063,0.0005,0.049,0.0405,0.738,0.790356397629,54600.0
145682,,,,,,,,,,,,,,0.277682575107,75.799246375,6827.5,,5272.0,,6290.0,,8766.0,,9934.0,,9948.0,,6437.0,0.0275,0.0,0.0,0.0,0.0,0.0026,0.0581,0.0143,0.0,0.0132,0.0143,0.0127,0.0158,0.0137,0.0,0.4593,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0011,0.0,0.0428,0.0211,0.0,0.0048,0.2281,0.0444,0.0,0.1282,0.2985,0.5565,,0.6055,,0.3197,0.539355322339,,,,,,,,,,,,0.3264,7882.0,0.0241,0.0025,0.0152,0.1152,0.0363,0.0011,0.0001,0.0463,0.7591,0.473658770323,32000.0
158431,,,,,,,,,,,,,,0.169342654867,160.25809175,14435.0,,7522.0,,8207.0,,10307.0,,11652.0,,12020.0,,8051.0,0.0,0.0,0.0,0.0,0.0,0.0811,0.0592,0.022,0.0051,0.0017,0.0524,0.0,0.0085,0.0051,0.0,0.2553,0.0,0.0,0.0,0.0,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0473,0.0,0.0,0.0,0.0025,0.0,0.0,0.0355,0.2401,0.1344,0.0,0.6244,0.7067,0.3895,,0.5141,,0.3842,0.425300515169,,,,,,,,,,,,0.3937,7222.0,0.0151,0.0064,0.0078,0.4136,0.0994,0.001,0.0021,0.0154,0.4394,0.444755256176,29200.0
158884,,,,,,,,,,,,,,0.173932806324,61.061275,5500.0,,7657.0,,8522.0,,8981.0,,11021.0,,,,7890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0173,0.013,0.0,0.0931,0.0,0.0844,0.0433,0.0,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0152,0.026,0.0,0.0,0.381,0.1104,0.0,0.0403,0.6384,0.4603,,0.4348,,0.3802,0.608910891089,,,,,,,,,,,,0.3536,1675.0,0.0233,0.0066,0.0167,0.4967,0.0501,0.003,0.0024,0.0287,0.3725,0.443197757006,24500.0
174075,19.0,24.0,22.0,18.0,23.0,21.0,18.0,25.0,22.0,6.0,8.0,7.0,0.453863829787,,222.041,20000.0,,7918.0,,9013.0,,10678.0,,16743.0,,19149.0,,11894.0,0.1865,0.1541,0.0,0.0,0.0378,0.0,0.0,0.0,0.0216,0.0459,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.073,0.0459,0.0,0.0,0.0,0.0,0.0027,0.0216,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0892,0.3054,0.0,0.3976,0.2388,0.3183,0.691,,0.375,,0.841538461538,420.0,530.0,475.0,420.0,500.0,460.0,380.0,510.0,445.0,1004.0,1004.0,0.2747,1813.0,0.0182,0.0083,0.0193,0.0645,0.021,0.0022,0.0596,0.0292,0.7777,0.649082541466,39900.0
174358,20.0,25.0,23.0,19.0,24.0,22.0,19.0,25.0,22.0,,,,0.463292166517,,255.963313775,23055.5,,10247.0,,11321.0,,13704.0,,17024.0,,17258.0,,14430.0,0.0,0.0016,0.0,0.0125,0.0744,0.0,0.018,0.0,0.1339,0.0,0.0,0.007,0.0,0.0141,0.0164,0.0125,0.0,0.0564,0.007,0.0,0.0266,0.0423,0.0031,0.0,0.0133,0.0,0.0415,0.0501,0.0525,0.0423,0.0,0.0,0.0,0.0,0.1096,0.1112,0.1464,0.007,0.6301,0.3314,0.1472,0.6768,,0.6279,,0.867412140575,480.0,590.0,535.0,450.0,560.0,505.0,,,,1049.0,1049.0,0.1921,5912.0,0.025,0.0076,0.0135,0.0262,0.0282,0.0003,0.0682,0.0487,0.7821,0.670247912407,37000.0
174428,,,,,,,,,,,,,,0.188039657334,149.877675,13500.0,,12089.0,,12495.0,,14760.0,,17049.0,,17423.0,,13893.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0114,0.0028,0.0149,0.0185,0.0085,0.0,0.0,0.0,0.0107,0.5871,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.2544,0.0462,0.0,0.3743,0.3605,0.5601,,0.5539,,0.4684,0.686599619462,,,,,,,,,,,,0.3249,7751.0,0.0528,0.0044,0.0844,0.1579,0.0805,0.0019,0.0081,0.0065,0.6035,0.623307526112,37000.0
174792,23.0,28.0,26.0,21.0,27.0,24.0,24.0,28.0,26.0,6.0,8.0,7.0,0.782816438356,,299.75535,27000.0,14657.0,,15479.0,,19359.0,,23845.0,,27886.0,,22866.0,,0.0,0.0417,0.0,0.0098,0.0,0.0,0.0343,0.0,0.0098,0.0,0.0,0.027,0.0,0.0,0.0833,0.0,0.0,0.0907,0.0221,0.0,0.0368,0.0,0.0196,0.0074,0.0539,0.0,0.0588,0.0,0.0,0.1299,0.0,0.0,0.0,0.0,0.049,0.0098,0.2721,0.0441,0.6095,0.1947,0.0112,0.8552,,,,0.963286713287,480.0,625.0,553.0,475.0,610.0,543.0,460.0,575.0,518.0,1155.0,1155.0,0.0059,1871.0,0.0064,0.0086,0.0294,0.0315,0.0433,0.0021,0.0524,0.0,0.8263,0.798701286316,55900.0
174862,18.0,24.0,21.0,16.0,24.0,20.0,17.0,24.0,21.0,,,,0.526827516779,,299.75535,27000.0,18210.0,,18966.0,,19016.0,,20321.0,,17944.0,,18890.0,,0.0,0.0,0.0,0.0,0.0798,0.0,0.0,0.0,0.1268,0.0,0.0,0.0047,0.0,0.0047,0.0094,0.0563,0.0,0.0047,0.0,0.0,0.0,0.0,0.0047,0.338,0.0,0.0,0.1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235,0.1315,0.0798,0.0094,0.7022,0.4881,0.1644,0.6959,,,,0.883561643836,395.0,455.0,425.0,370.0,435.0,403.0,,,,983.0,983.0,0.3494,1095.0,0.0119,0.0073,0.0521,0.0712,0.0384,0.0027,0.0356,0.011,0.7699,0.578059077263,31600.0
187596,,,,,,,,,,,,,0.589815932203,,,,,3902.0,,4900.0,,5484.0,,6111.0,,,,4149.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0683,0.0932,0.0311,0.0,0.0932,0.0,0.0,0.0497,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.2609,0.0,0.0,0.0,0.0,0.0994,0.2422,0.0,0.0,0.6567,0.2328,0.4444,,,,,,,,,,,,,,,,0.4898,1654.0,0.0012,0.9601,0.0012,0.0012,0.0067,0.0,0.0,0.0266,0.003,0.236162364483,19400.0
187745,,,,,,,,,,,,,0.268319512195,,,,,9593.0,,10773.0,,10952.0,,,,,,10181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7059,0.0,0.0784,0.0,0.0,0.3944,0.28,0.6923,,1.0,,0.457142857143,,,,,,,,,,,,0.3546,225.0,0.0,0.8578,0.0089,0.0,0.0267,0.0044,0.0444,0.0178,0.04,0.210526317358,21300.0
188030,18.0,24.0,21.0,16.0,24.0,20.0,17.0,24.0,21.0,6.0,8.0,7.0,0.437067065582,,216.489975,19500.0,,8397.0,,9450.0,,12300.0,,13523.0,,13753.0,,10158.0,0.037,0.0156,0.0004,0.0004,0.0194,0.0072,0.0324,0.0,0.0758,0.0793,0.0259,0.0194,0.0229,0.0,0.0267,0.0659,0.0,0.0465,0.0042,0.0,0.0,0.0175,0.0023,0.0,0.008,0.0,0.0385,0.0697,0.0156,0.0579,0.0,0.0,0.0,0.0,0.0454,0.0652,0.189,0.0118,0.4438,0.4342,0.1297,0.7399,,0.4074,,0.615059337062,420.0,540.0,480.0,410.0,540.0,475.0,400.0,520.0,460.0,982.0,982.0,0.2374,12886.0,0.0126,0.0242,0.0116,0.0302,0.52,0.0027,0.0416,0.0345,0.3225,0.489753246307,33800.0
199494,,,,,,,,,,,,,,0.458900684932,105.469475,9500.0,,4831.0,,4749.0,,6896.0,,9155.0,,,,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0826,0.0416,0.0,0.0254,0.0,0.0,0.0,0.0,0.2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0621,0.0,0.0,0.0169,0.1143,0.0325,0.0,0.0,0.1489,0.1553,0.0,0.1597,0.793,0.5892,,0.5085,,0.2215,,,,,,,,,,,,,0.4702,5842.0,0.0228,0.0046,0.0098,0.2574,0.0626,0.0003,0.0,0.0195,0.6229,0.343419075012,24000.0
199643,,,,,,,,,,,,,0.27926779661,,441.2842834,39748.0,18089.0,,18944.0,,20250.0,,22544.0,,26222.0,,18849.0,,0.0,0.0,0.0,0.0,0.0352,0.0,0.0352,0.0,0.0669,0.0,0.0,0.0,0.0,0.0,0.0035,0.0141,0.0,0.0423,0.007,0.0,0.0,0.0599,0.0458,0.0,0.0,0.0,0.0563,0.0669,0.2077,0.0739,0.0,0.0,0.0,0.0,0.0106,0.0317,0.243,0.0,0.9217,0.7893,0.0723,0.4263,,0.0833,,0.311847759362,,,,,,,,,,,,0.2501,1923.0,0.0016,0.0031,0.0,0.6906,0.0047,0.0062,0.0146,0.2715,0.0078,0.431767344475,27400.0
199847,,,,,,,,,,,,,0.869740811775,,253.2377605,22810.0,21854.0,,28079.0,,31941.0,,34631.0,,42543.0,,34139.0,,0.0,0.0,0.0,0.0036,0.0882,0.0,0.0081,0.0,0.0072,0.0,0.0,0.0252,0.0,0.0,0.0603,0.0,0.0,0.0711,0.0135,0.0,0.0,0.0783,0.0243,0.0,0.0333,0.0,0.0882,0.0,0.0,0.2088,0.0,0.0,0.0,0.0,0.0306,0.0,0.2133,0.0459,0.3468,0.1202,0.0125,0.9294,,,,0.972440944882,,,,,,,,,,,,0.0012,4812.0,0.0266,0.0017,0.0486,0.065,0.0599,0.0006,0.0374,0.0002,0.76,0.789842367172,61000.0
199962,19.0,24.0,22.0,,,,,,,,,,0.492,,288.392401825,25976.5,13086.0,,12689.0,,13635.0,,17051.0,,19329.0,,15566.0,,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.087,0.0,0.0,0.0119,0.0,0.0,0.0356,0.0198,0.0,0.1383,0.0158,0.0,0.0277,0.1028,0.0079,0.0,0.0277,0.0,0.0514,0.0,0.083,0.0158,0.0,0.0,0.0,0.0,0.0474,0.0356,0.1937,0.0079,0.7468,0.3824,0.025,0.7536,,,,0.866666666667,470.0,570.0,520.0,440.0,550.0,495.0,430.0,530.0,480.0,1013.0,1013.0,0.0567,2002.0,0.0355,0.0065,0.0195,0.1518,0.0245,0.0015,0.0355,0.0814,0.6439,0.658396959305,37000.0
212832,16.0,22.0,19.0,,,,,,,,,,0.64119964476,,288.6533,26000.0,19772.0,,20154.0,,22425.0,,24305.0,,26743.0,,23673.0,,0.0,0.0,0.0,0.0,0.0115,0.0,0.0072,0.0,0.0573,0.0,0.0,0.0,0.0,0.0,0.0072,0.0014,0.0,0.0057,0.0057,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0301,0.0301,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.5301,0.2923,0.0043,0.7278,0.3351,0.0886,0.8222,,,,0.837728194726,420.0,530.0,475.0,430.0,520.0,475.0,420.0,520.0,470.0,944.0,944.0,0.419,2031.0,0.0,0.0039,0.0463,0.2477,0.0414,0.0,0.0034,0.0473,0.61,0.811271309853,52000.0
213251,,,,,,,,,,,,,0.749671312585,,299.75535,27000.0,15902.0,,16637.0,,20535.0,,25051.0,,30372.0,,24614.0,,0.0,0.0857,0.0,0.0,0.0667,0.0,0.0286,0.0,0.0762,0.0127,0.0,0.0508,0.0,0.0,0.0286,0.0032,0.0,0.1492,0.0159,0.0,0.0635,0.0,0.0032,0.0,0.0762,0.0,0.0984,0.0,0.0159,0.0635,0.0,0.0,0.0,0.0,0.019,0.0,0.1079,0.0349,0.6893,0.2176,0.002,0.8781,,,,0.96015936255,,,,,,,,,,,,0.0271,1503.0,0.0246,0.0007,0.0253,0.0286,0.0379,0.0,0.0758,0.0672,0.7399,0.686716794968,45200.0
213349,18.0,22.0,20.0,16.0,17.0,17.0,21.0,23.0,22.0,,,,0.5460768989,,288.6533,26000.0,,14850.0,,16066.0,,19804.0,,22440.0,,22958.0,,19518.0,0.0,0.0108,0.0,0.0006,0.0312,0.0,0.021,0.0,0.1207,0.0,0.0,0.0074,0.0,0.0,0.0861,0.004,0.0108,0.0272,0.0221,0.0,0.0023,0.0436,0.0034,0.0,0.0227,0.0,0.0856,0.0635,0.0283,0.0748,0.0,0.0,0.0,0.0,0.1054,0.0272,0.1796,0.0221,0.7281,0.316,0.0554,0.7291,,0.4286,,0.877847794474,440.0,530.0,485.0,430.0,520.0,475.0,420.0,510.0,465.0,959.0,959.0,0.0602,8538.0,0.0179,0.0015,0.0124,0.0703,0.0609,0.0012,0.0086,0.0135,0.8138,0.61948299408,41400.0
213400,16.0,22.0,19.0,16.0,23.0,20.0,16.0,23.0,20.0,6.0,9.0,8.0,0.707297560976,,208.1634375,18750.0,16066.0,,17202.0,,17012.0,,20781.0,,22787.0,,18616.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.4096,0.3284,0.7164,,0.5714,,0.907455012853,420.0,560.0,490.0,440.0,570.0,505.0,440.0,550.0,495.0,982.0,982.0,0.4151,1212.0,0.0272,0.0017,0.0248,0.2789,0.0322,0.0,0.0041,0.0677,0.5635,0.539792358875,30400.0
225247,20.0,25.0,23.0,18.0,25.0,22.0,19.0,25.0,22.0,,,,0.492497109827,,299.75535,27000.0,18931.0,,20037.0,,21093.0,,22348.0,,23544.0,,21071.0,,0.0,0.006,0.0,0.0,0.0328,0.0,0.0119,0.0,0.1313,0.0,0.0,0.003,0.0,0.0,0.0358,0.0,0.0,0.0925,0.0,0.0,0.0,0.1373,0.009,0.0328,0.006,0.0,0.0776,0.0597,0.0209,0.0358,0.0,0.0,0.0,0.0,0.0328,0.1224,0.1164,0.0358,0.604,0.3379,0.0793,0.6285,,,,0.831389183457,480.0,560.0,520.0,450.0,550.0,500.0,430.0,530.0,480.0,1035.0,1035.0,0.0982,1690.0,0.0249,0.0024,0.0083,0.0669,0.1485,0.0006,0.0189,0.0053,0.7243,0.676510095596,38600.0
